Pacman: 1 || Ghost: 13 || Pacman rate: 48.0 || Ghost rate: 52.0
Pacman: 2 || Ghost: 13 || Pacman rate: 58.0 || Ghost rate: 42.0
Pacman: 5 || Ghost: 13 || Pacman rate: 14.0 || Ghost rate: 86.0
Pacman: 6 || Ghost: 13 || Pacman rate: 34.0 || Ghost rate: 66.0
Pacman: 7 || Ghost: 13 || Pacman rate: 40.0 || Ghost rate: 60.0
Pacman: 8 || Ghost: 13 || Pacman rate: 38.0 || Ghost rate: 62.0
Pacman: 9 || Ghost: 13 || Pacman rate: 38.0 || Ghost rate: 62.0
Pacman: 10 || Ghost: 13 || Pacman rate: 26.0 || Ghost rate: 74.0
Pacman: 11 || Ghost: 13 || Pacman rate: 38.0 || Ghost rate: 62.0
Pacman: 12 || Ghost: 13 || Pacman rate: 34.0 || Ghost rate: 66.0
Pacman: 13 || Ghost: 13 || Pacman rate: 40.0 || Ghost rate: 60.0
Pacman: 14 || Ghost: 13 || Pacman rate: 38.0 || Ghost rate: 62.0
Pacman: 15 || Ghost: 13 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 16 || Ghost: 13 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 17 || Ghost: 13 || Pacman rate: 46.0 || Ghost rate: 54.0
Pacman: 18 || Ghost: 13 || Pacman rate: 30.0 || Ghost rate: 70.0
Pacman: 19 || Ghost: 13 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 21 || Ghost: 13 || Pacman rate: 38.0 || Ghost rate: 62.0
Pacman: 23 || Ghost: 13 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 13 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 13 || Pacman rate: 18.0 || Ghost rate: 82.0
---
Pacman: 13 || Ghost: 1 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 2 || Pacman rate: 46.0 || Ghost rate: 54.0
Pacman: 13 || Ghost: 5 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 6 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 7 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 9 || Pacman rate: 66.0 || Ghost rate: 34.0
Pacman: 13 || Ghost: 10 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 11 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 12 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 13 || Pacman rate: 28.0 || Ghost rate: 72.0
Pacman: 13 || Ghost: 14 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 15 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 16 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 17 || Pacman rate: 26.0 || Ghost rate: 74.0
Pacman: 13 || Ghost: 18 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 19 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 21 || Pacman rate: 48.0 || Ghost rate: 52.0
Pacman: 13 || Ghost: 23 || Pacman rate: 0.0 || Ghost rate: 100.0
